5.00435563	245
5.021066899	280
5.037778168	267
5.054489437	274
5.071200706	286
5.087911975	285
5.104623244	232
5.121334513	210
5.138045782	267
5.154757051	234
5.17146832	240
5.188179589	247
5.204890858	214
5.221602127	247
5.238313396	210
5.255024665	248
5.271735934	238
5.288447203	249
5.305158472	235
5.321869741	262
5.33858101	294
5.355292279	235
5.372003548	244
5.388714816	254
5.405426085	241
5.422137354	245
5.438848623	243
5.455559892	219
5.472271161	233
5.48898243	210
5.505693699	224
5.522404968	240
5.539116237	223
5.555827506	222
5.572538775	217
5.589250044	210
5.605961313	208
5.622672582	179
5.639383851	207
5.65609512	215
5.672806389	208
5.689517658	208
5.706228927	208
5.722940196	208
5.739651465	208
5.756362734	213
5.773074003	178
5.789785272	215
5.806496541	208
5.82320781	236
5.839919079	188
5.856630348	206
5.873341617	183
5.890052886	171
5.906764155	200
5.923475424	206
5.940186693	171
5.956897962	168
5.973609231	192
5.9903205	190
6.007031769	167
6.023743038	215
6.040454307	165
6.057165576	189
6.073876845	201
6.090588114	204
6.107299383	179
6.124010652	193
6.14072192	180
6.157433189	188
6.174144458	198
6.190855727	177
6.207566996	185
6.224278265	159
6.240989534	165
6.257700803	199
6.274412072	147
6.291123341	164
6.30783461	167
6.324545879	165
6.341257148	164
6.357968417	199
6.374679686	192
6.391390955	170
6.408102224	147
6.424813493	168
6.441524762	143
6.458236031	163
6.4749473	159
6.491658569	171
6.508369838	180
6.525081107	164
6.541792376	171
6.558503645	155
6.575214914	159
6.591926183	137
6.608637452	168
6.625348721	158
6.64205999	173
6.658771259	160
6.675482528	134
6.692193797	156
6.708905066	145
6.725616335	141
6.742327604	160
6.759038873	156
6.775750142	149
6.792461411	132
6.80917268	141
6.825883949	147
6.842595218	172
6.859306487	112
6.876017756	139
6.892729024	143
6.909440293	163
6.926151562	146
6.942862831	161
6.9595741	147
6.976285369	132
6.992996638	128
7.009707907	131
7.026419176	131
7.043130445	148
7.059841714	143
7.076552983	147
7.093264252	145
7.109975521	145
7.12668679	152
7.143398059	127
7.160109328	126
7.176820597	162
7.193531866	141
7.210243135	137
7.226954404	122
7.243665673	134
7.260376942	130
7.277088211	144
7.29379948	127
7.310510749	116
7.327222018	130
7.343933287	135
7.360644556	123
7.377355825	118
7.394067094	114
7.410778363	144
7.427489632	116
7.444200901	112
7.46091217	123
7.477623439	108
7.494334708	135
7.511045977	100
7.527757246	104
7.544468515	131
7.561179784	123
7.577891053	129
7.594602322	127
7.611313591	123
7.62802486	141
7.644736128	127
7.661447397	118
7.678158666	124
7.694869935	98
7.711581204	112
7.728292473	112
7.745003742	124
7.761715011	137
7.77842628	122
7.795137549	114
7.811848818	146
7.828560087	123
7.845271356	117
7.861982625	125
7.878693894	112
7.895405163	113
7.912116432	120
7.928827701	118
7.94553897	104
7.962250239	106
7.978961508	125
7.995672777	114
8.012384046	114
8.029095315	110
8.045806584	109
8.062517853	118
8.079229122	106
8.095940391	127
8.11265166	98
8.129362929	97
8.146074198	125
8.162785467	120
8.179496736	115
8.196208005	112
8.212919274	91
8.229630543	84
8.246341812	119
8.263053081	110
8.27976435	87
8.296475619	115
8.313186888	110
8.329898157	111
8.346609426	118
8.363320695	98
8.380031964	89
8.396743233	111
8.413454501	115
8.43016577	123
8.446877039	116
8.463588308	124
8.480299577	116
8.497010846	101
8.513722115	98
8.530433384	118
8.547144653	102
8.563855922	95
8.580567191	110
8.59727846	109
8.613989729	114
8.630700998	103
8.647412267	103
8.664123536	96
8.680834805	79
8.697546074	106
8.714257343	116
8.730968612	100
8.747679881	102
